" Copy","Kopiera"
"Sender Email","E-post för avsändare"
"Sender Name","Namn för avsändare"
"Sending","Skickar"
"Sending Options","Sending Options"
"Sent","Skickat"
"Set Return-Path","Set Return-Path"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Sign me up","Skriv upp mig"
"Sign up for our newsletter","Sign up for our newsletter"
"Sign up for our newsletter:","Prenumerera på vårt nyhetsbrev"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","Början"
"Status","Status"
"Store","Butik"
"Store View","Butiksvy"
"Subject","Ämnesrad"
"Submit","Submit"
"Subscribe","Prenumerera"
"Subscribed","Subscribed"
"Subscriber","Prenumerant"
"Subscribers","Prenumeranter"
"Subscribers From","Prenumeranter från"
"Subscription Options","Alternativ för prenumeration"
"Success Email Sender","Avsändare för mall för e-post om bekräftelse"
"Success Email Template","Mall för e-post om bekräftelse"
"Template Content","Innehåll i mall"
"Template Information","Information om mall"
"Template Name","Mallnamn"
"Template Styles","Template Styles"
"Template Subject","Ämnesrad för mall"
"Template Type","Malltyp"
"Thank you for your subscription","Tack för att du prenumererar på vårt nyhetsbrev"
"Thank you for your subscription.","Thank you for your subscription."
"The subscription has been removed.","The subscription has been removed."
"The subscription has been saved.","The subscription has been saved."
"The subscription was successfully saved","Prenumerationen har sparats"
"There was a problem with the subscription","Det uppstod ett fel med prenumerationen"
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: %s","Det uppstod ett fel med prenumerationen: %s"
"There was a problem with the un-subscription.","Det uppstod ett fel i samband med uppsägningen av prenumerationen."
"There was an error while saving your subscription","Det uppstod ett fel när din prenumeration skulle sparas"
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Toggle Editor","Växla editor"
"Type","Typ"
"Unconfirmed","Unconfirmed"
"Unsubscribe","Säg upp prenumeration"
"Unsubscribe Selected","Uppsägning vald"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Avsändare för e-post om uppsägning av prenumeration"
"Unsubscription Email Template","Mall för e-post om uppsägning"
"View Newsletter","Granska nyhetsbrev"
"Website","Webbplats"
"You have been successfully unsubscribed.","Din prenumeration på nyhetsbrevet har sagts upp"
"You have been unsubscribed.","You have been unsubscribed."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"Your subscription was successfully confirmed","Din prenumeration har bekräftats"
